LAST_ACTIVITY_BLOCK,LAST_ACTIVITY_BLOCK_TIMESTAMP,USER_ADDRESS,CONTRACT_ADDRESS,CURRENT_BAL_UNADJ,CURRENT_BAL,USD_VALUE_LAST_ACTIVITY,USD_VALUE_NOW,SYMBOL,TOKEN_NAME,DECIMALS,HAS_DECIMAL,HAS_PRICE,LAST_RECORDED_PRICE,ROWNUMBER,BALANCE
17949197,2023-08-19 13:44:35.000,0xfb843f8c4992efdb6b42349c35f025ca55742d33,0xccccccccc9507ce17987409cc8c598733ba9b670,6,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,6
17999800,2023-08-26 15:41:23.000,0x7cc4e967242e1cad92152d47ae0bb9169e97d553,0xccccccccc9507ce17987409cc8c598733ba9b670,6,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,6
18047898,2023-09-02 09:20:11.000,0x402b318f8288a1479b8d22f75f16d3721581eeef,0xccccccccc9507ce17987409cc8c598733ba9b670,6,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,6
18017917,2023-08-29 04:31:59.000,0xc480c3fd10d8965eb74b9b53ee65bea24b2a6a73,0xccccccccc9507ce17987409cc8c598733ba9b670,6,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,6
17947299,2023-08-19 07:21:11.000,0xf06bed3f0dad7932d8d00fe48c36751f5c10be23,0xccccccccc9507ce17987409cc8c598733ba9b670,6,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,6
18020596,2023-08-29 13:33:35.000,0xbcf973d359d70e220d2d38dc66c9dfe41a3bed77,0xccccccccc9507ce17987409cc8c598733ba9b670,5,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,5
18011862,2023-08-28 08:10:23.000,0xe11a519c7572847bddafb2e70e34d0476a1c6387,0xccccccccc9507ce17987409cc8c598733ba9b670,5,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,5
17946913,2023-08-19 06:02:59.000,0xd13c2691e0715efc6070f48242bf4317c84884f1,0xccccccccc9507ce17987409cc8c598733ba9b670,5,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,5
17991836,2023-08-25 12:54:23.000,0xa5e5d3afe7daf372972559c7fa3b75cb7a4ae0d7,0xccccccccc9507ce17987409cc8c598733ba9b670,5,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,5
18129258,2023-09-13 18:47:11.000,0xfbe14f82bc91ef474d511400b62dc2bc13e86dba,0xccccccccc9507ce17987409cc8c598733ba9b670,5,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,5
17953545,2023-08-20 04:21:35.000,0x610b75adad4e5acbb422bf33cdffb4e323309153,0xccccccccc9507ce17987409cc8c598733ba9b670,5,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,5
18120562,2023-09-12 13:31:23.000,0x625d6405dcac9c82f4b681a131d9182115448f75,0xccccccccc9507ce17987409cc8c598733ba9b670,5,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,5
18156740,2023-09-17 15:49:47.000,0x62f8cff0bc5e347f350ef7724d74a42a57f7b7fa,0xccccccccc9507ce17987409cc8c598733ba9b670,5,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,5
17967705,2023-08-22 03:55:35.000,0x63b7d0006102e672e6936fcfe6197e4c782f51d4,0xccccccccc9507ce17987409cc8c598733ba9b670,5,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,5
17947409,2023-08-19 07:43:11.000,0x648a984003798b4735c198eebb81a78d546ce24c,0xccccccccc9507ce17987409cc8c598733ba9b670,5,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,5
18125141,2023-09-13 04:55:59.000,0x74f51484484252d44d74cbc6d3e0380b6939bfcf,0xccccccccc9507ce17987409cc8c598733ba9b670,5,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,5
18040308,2023-09-01 07:47:59.000,0x7c7216f16e81f2cf68269a2e3c24b4123b3da2c2,0xccccccccc9507ce17987409cc8c598733ba9b670,5,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,5
18015171,2023-08-28 19:18:23.000,0x6a167abe38959433aaaa984b3d50761ac60ee875,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
